意图	语料
景点	好的,请问这个景点周边有哪些餐馆啊。
景点	景点的具体地址是在哪里啊？
酒店	好的，请给我推荐一家有行李寄存和洗衣服务的经济型酒店住宿，最低价格在100-200元的。
酒店	这个酒店的具体地址在哪儿啊？
酒店	酒店的周边有哪些餐馆啊？
thank	好的，谢谢了。
酒店	你好，我想去酒店住宿。请帮我找一家最低价格是300-400元的的有中式餐厅的酒店。
酒店	好的。这两家哪家有无烟房？
酒店	恩。北京世纪金源香山商旅酒店的电话是多少啊？
酒店	嗯呢。这家酒店的评分是几分啊？
thank	好的。谢谢啊。
景点	你好，请帮我找一个游玩时长是1小时，评分是4.5分以上的景点好吗？
景点	就去景山公园好了，帮我查一下它周边有没有其他景点？
景点	玩的地方还不少，该景点门票多少钱？
酒店	真便宜，溜达完我要去名叫IU酒店(北京火车站店)的酒店住宿，能帮我查一下这个酒店的电话吗？
餐馆	好的，记下了，晚上我想吃个凉菜拼盘，希望餐馆评分是5分，你能帮我推荐一个符合条件的餐馆吗？
餐馆	也行，它家周边都有什么酒店呀？
餐馆	哦，那好吧，把它家电话给我一下。
thank	收到，谢谢！
thank	你好，帮我推荐一个人均消费在50-100元，巧克力慕斯做的好的餐馆，谢谢。
餐馆	营业时间和电话告诉我一下。
景点	吃完饭我想找个景点游玩，你帮我推荐一个评分是4.5分以上，可以玩2小时 - 3小时，收门票的景点，谢谢。
景点	好的，周边还有其它景点吗？地址也一起发给我吧。
出租	从YUAN' mousse& flower到紫谷伊甸园，打车，你能帮我查一下车型和车牌吗？
酒店	好，麻烦你再帮我找一个高档型的，提供无烟房的酒店。
酒店	有没有叫醒服务？
酒店	好，价格和地址发给我一下，谢谢。
thank	好的，没有问题了，谢谢你。
景点	你好，请帮我找一个景点，游玩的时长是2小时 - 3小时。
景点	请问北京杜莎夫人蜡像馆的评分是4.5分以上吗？
景点	请告诉我它的周边酒店有哪些。
酒店	请在北京杜莎夫人蜡像馆附近帮我找家酒店，评分在4.5分以上，价格在100-200元之间的。
酒店	请问这个酒店是否包含部分房间提供wifi，是否包含免费市内电话。
酒店	请告诉我它周边都有哪些景点。
酒店	请再帮我找家酒店，能提供免费市内电话和叫醒服务，价格在600-700元。
酒店	请告诉我北京长白山国际酒店的评分和地址。
餐馆	好的，第二天我还想找家餐馆吃晚饭，请帮我找个评分是4分以上的餐馆。
餐馆	请告诉我护国寺小吃店（护国寺总店）的人均消费和周边酒店。
酒店	请在护国寺小吃店（护国寺总店）附近帮我找个高档酒店，最低价格在300-400元的。
酒店	请问这个酒店服务是否包含室内游泳池和电话？
thank	好的，谢谢，没有问题了。
餐馆	你好，请帮我找一家人均消费50-100元，评分5分的餐馆。
餐馆	好的，他家营业时间是？周边都有哪些景点？
景点	我要去海底捞火锅(西单店)附近的景点游玩，我希望游玩的时长是3小时，票价是100-150元。
景点	没关系，那他周边有什么不错的酒店和餐馆吗？
酒店	我想去北京工大建国饭店的酒店住宿，你能帮我查一下这个酒店的评分吗？
景点	我想带我弟弟去一个评分4.5分以上，游玩的时长3小时，票价100-150元的景点游玩，你能帮我推荐一个吗？
景点	好的，那他周边有什么景点和酒店吗？
thank	非常感谢你！
餐馆	你好，我想问下有没有评分4.5以上人均花100-150元就能吃得很好的餐馆。
餐馆	那家小馆(永安里店)周边还有什么餐馆和景点么？
景点	好的，那如果我想找个景点玩1-2小时，票价在20-50元的有没有呢？
thank	好的，非常感谢。
餐馆	你好，我想去金缘德烤鸭店吃饭。这家餐馆的周边还有啥餐馆啊？
餐馆	好的。这家餐馆的周边酒店都有哪些啊？
酒店	好的。吃完饭想去休息。请帮我找一家评分是4.5分以上，高档型的酒店。
酒店	恩。北京山西(金辇)大厦这家酒店的电话是啥啊？
酒店	嗯嗯。还有这家酒店的地址是？
景点	嗯呢。休息好了想去游玩。请帮我找一个游玩时长是3小时的景点。
景点	恩。龙庆峡这个景点的评分是几分啊？
酒店	好的。游玩结束想去住宿。请帮我找一家评分是4.5分以上，高档型的酒店。
酒店	嗯呢。北京湖北大厦这家酒店有棋牌室吗？
酒店	好，知道了。这家酒店有早餐服务吗？
thank	好的啊。谢谢。
酒店	你好，我需要找一个舒适型的酒店休息，最好要评分4分以上的，能帮我推荐一个吗？
酒店	北京都季商旅酒店好像挺有名气的，具体位置在哪啊？酒店周边有什么景点可以游玩的吗？
餐馆	帮我找一个餐馆在4.5分以上，人均消费150-500元的，这个周末家里人要聚餐。
餐馆	恩恩，那味道肯定不错，这家店电话是多少？吃完了饭可能带家里人出去转一转，餐馆周边有什么值得去的景点吗？
景点	这些景点还真都去过了，帮我再找一个能玩0.3小时 - 0.5小时的景点吧。
景点	午门电话给我一下，它周围还有别的景点吗？
thank	好的，谢谢你。
酒店	你好，我要去名叫北京邮电会议中心的酒店住宿，你能帮我查看一下这个酒店周边都有哪些可以吃饭的地方不？
酒店	好的，那你知道这个酒店的电话吗？
餐馆	嗯，记下了，住下之后我想到酒店周边找个评分是4.5分以上的餐馆吃点东西，哪个餐馆比较合适啊？
餐馆	也行，那这个餐馆周边都有什么酒店呀？
餐馆	挺好的，这个地方有点太高档了，你再帮我换一个能吃到鱼滑的餐馆吧，好吗？
餐馆	真的吗，那你知道这个餐馆的营业时间吗？
餐馆	太好了，这些时间段我都有时间，它家在什么地方啊？
景点	收到，饭也吃完了，感觉体力饱满，你能帮我安排一个游玩时长是3小时 - 5小时，票价是50-100元的景点吗，我去消化消化食。
景点	这个建议我采纳了，你把景点的电话发给我吧。
thank	哦了，谢谢你哦！
酒店	你好，请帮忙推荐一个舒适型的酒店！价格在900-1000元！
酒店	他家评分怎么样啊？
酒店	好的，联系电话发我一下吧！
餐馆	行，我还想找一家人均消费在100-150元的餐馆，帮介绍一个吧！
餐馆	附近有什么酒店么？
景点	哦，那帮找个游玩时间在2小时，评分4.5分以上的景点吧！
景点	地址在哪啊？周边还有其它景点么？
thank	好的，谢谢你的介绍，我没有问题了。
酒店	你好，我想找一个酒店，要有国际长途电话和叫醒服务的就可以。
酒店	北京骏马国际酒店的地址在哪，这个酒店周边有景点可以游玩吗？
景点	好的，那先给我推荐一个门票免费，能游玩大概1小时 - 2小时的地方吧。
景点	航空航天博物馆的评分是多少啊，具体的地址在哪啊？
出租	那么从北京骏马国际酒店到航空航天博物馆能打到车吗，帮我叫个车，告诉我车型和车牌号。
thank	好的，多谢。
餐馆	你好，我想找一家可以吃传统手切涮羊肉的5分评分的餐馆，你能帮我找一找吗？
餐馆	行啊，那他家的周边都有什么酒店吗？
餐馆	那就太方便了，这个餐馆的周边有什么景点啊？
酒店	行，吃过饭后我还可以去玩玩呢，你看看餐馆的周边酒店哪家可以提供国际长途电话，并且评分在4分以上，最低价格是1000元以上的呢？
酒店	哦，那我去北京富力万丽酒店住吧，他家是什么类型的酒店呢？
酒店	那太好了，把他家的地址给我吧！
景点	收到，定好酒店后伙打算在餐馆周边找一个游玩时长是3小时 - 4小时，评分是5分，票价免费的景点游玩，你知道哪个地方好吗？
景点	可以啊，那你能帮我先查一下这个景点周边有什么酒店吗？
景点	这么多酒店呀，真不错哦，那这个景点周边还有其他景点吗？
景点	好的，这一个景点恐怕不够我玩啊，还能再给我找一个票价是20-50元的景点接着玩吗？
景点	你的推荐我太喜欢了，能帮我查一下颐和园的电话和评分吗？
酒店	太好了，溜达完以后我要去名叫99旅馆连锁(北京王府井灯市口地铁站店)的酒店住宿，你可以帮我查一下这个酒店的评分和价格吗？
thank	收到，真是太谢谢你了！
酒店	您好，我希望酒店提供宽带上网，有没有推荐？
酒店	北京空港远航国际酒店的地址在哪里，周边有好玩的景点吗？
酒店	那它的地址在哪里？
餐馆	我还想找一家评分4.5以上的餐馆，人均消费大概100-150这样子。
餐馆	砂锅居（西四店）的电话是多少？
景点	吃完饭还想去玩玩，有没有票价在150-200之间，游玩时间2小时左右的景点？
景点	北京欢乐谷地址在哪？
thank	好的，谢谢！
景点	您好，我想找一个游玩的时长是12小时 - 3天、门票不免费的、评分是4.5分以上的景点，并告诉我它的地址和电话。
酒店	记下了。回来也累了，找一家评分是4.5分以上的、经济型的、价格是1000元以上的酒店休息吧，有什么好地方？把酒店电话提供给我，我订个房间，哦，再看看周边还有玩的吗？
景点	太好了。那周边的景点里哪家是评分5分的呢，地址在哪？
餐馆	太棒了。然后我打算去宏源南门涮肉(后海店)吃饭，请问它家周边有什么其它餐馆？
餐馆	周边的餐馆中有没有人均消费是50-100元的、有做肉粒、驴打滚这两道菜的呢？
餐馆	可以。它周边有什么景点和酒店呀？
thank	谢谢！没有问题了，再见！
酒店	你好，可以帮我推荐一个评分4.5分以上，最低价格400-500元的酒店吗？
酒店	北京西郊宾馆，酒店设施支持西式餐厅吗？
酒店	好的，那酒店设施提供国际长途电话吗？
餐馆	太好了，谢谢，我想吃的菜肴是石锅米豆腐，可以帮我推荐一个能做这个菜，人均消费50-100元，评分4分以上的餐馆吗？
餐馆	可以，这个餐馆就行，能帮我查一下这个餐馆的地址吗？
餐馆	记下了，餐馆周边都有哪些好玩的景点呢？
地铁	我想从北京西郊宾馆乘地铁到苗乡楼贵州味道怎么坐车合适，出发地和目的地附近地铁站分别是什么？
景点	好的，谢谢，我改天想去游玩，可以帮我找一个游玩时长1小时，票价20-50元的景点吗？
景点	就去国子监吧，这里的电话是多少呢？
thank	真是太谢谢你了！
酒店	你好，我要去名叫全季酒店北京马甸桥店的酒店住宿，想打听一下酒店周边都有什么餐馆，你能帮帮我吗？
酒店	这样啊，那你知道这个酒店的电话吗？
餐馆	好的，我记下了，我打算在酒店周边找个评分是4分以上，能做素炒鳝丝的餐馆吃饭，你有什么好的建议吗？
餐馆	行啊，就去这儿呗，它家人均消费是多少啊？
餐馆	确实挺贵的，那你再帮我重新找一个人均消费100-150元，有麻酱糖饼的餐馆可以吗？
餐馆	好的，帮我查一下它家周边还有哪些其他餐馆呗？
餐馆	收到，还得麻烦你告诉我一下它家的电话。
餐馆	嗯好，我记下了，晚上我打算在这个餐馆周边另找一个人均消费100-150元，能吃到烤蘑菇的餐馆吃晚饭，知道哪家比较适合我吗？
餐馆	那好吧，你能告诉我一下这个餐馆的电话吗？
餐馆	收到，那这个餐馆周边还有哪些别的餐馆呀？
没有意图	哦了，我知道了，麻烦你了啊！
酒店	您好，请帮我找一家最低价格在700-800元之间的经济型酒店。
酒店	飘HOME连锁酒店(北京前门大栅栏店)是否提供室内游泳池？周边有什么餐馆吗？
餐馆	好吧，那请帮我找一家人均消费在50-100元之间的餐馆吧？
餐馆	铃木食堂(小菊儿胡同店)周边有什么其他餐馆和景点吗？
景点	我想找一个评分是5分且票价在50-100元之间的景点游玩0.3小时 - 0.5小时，有什么推荐吗？
景点	好吧，那么观复博物馆周边有什么其他景点和餐馆吗？
thank	好的，谢谢，我没有其他问题了。
餐馆	突然想吃卤煮火烧了，能帮我找一家评分4.5分以上的餐馆吗？
餐馆	好的，貌似不错，天兴居周边有可以玩的地方吗？
景点	那帮我找一个评分是5分的免费景点。
景点	养心殿周边还有其他景点吗，能一起玩的
酒店	好的，玩累了晚上得找个住处，帮我找一家酒店，要无烟房，价格在600-700元的就可以。
酒店	北京京仪大酒店属于什么类型酒店，地址给我一下。
thank	好的，谢谢你了。
酒店	你好可以帮我找一个价格1000元以上，提供宽带上网的高档型酒店吗？
酒店	可以啊，你知道这个酒店在什么地方吗？
餐馆	好的，定好酒店以后我打算找个人均消费是100-150元，评分是4.5分以上的餐馆吃饭，有什么好的地方给我推荐吗？
餐馆	行啊，就去这里吃吧，它家周边还有别的餐馆吗？
餐馆	好的，它家一般几点营业啊？
景点	好的，这个时间段还是蛮方便的，吃完饭我想先找个评分是5分，游玩时长是1小时的景点散步，有啥好的建议吗？
景点	可以啊，正好我是学美术的，你知道这个景点的电话吗？
景点	嗯好，我知道了，那这个景点周边有餐馆吗？
餐馆	真不错，我打算游玩结束以后在景点周边找个能做麻辣馋嘴蛙的餐馆大吃一顿，知道哪个比较适合我吗？
餐馆	那好吧，只要能吃到这个菜就行，知道这里的人均消费是多少吗？
餐馆	OK，这个几位还可以，麻烦你再帮我查一下这个餐馆周边都有什么酒店好吗？
thank	哦了，我知道了，谢谢你啊！
酒店	你好，我想找个酒店住宿，要求评分不低于4.5分，价位800-900元，有啥好的推荐么？
酒店	那就北京伯豪瑞廷酒店吧，给提供免费国内长途电话吗？
没有意图	哦，知道了，麻烦你了！
酒店	哦，对了，把北京伯豪瑞廷酒店的电话发给我吧。
thank	非常感谢，我没有什么要问的啦！您的服务很到位，谢谢。
餐馆	您好，我要去一家评分在4.5分以上、人均消费150-500元的餐馆用餐，您看下哪家餐馆符合我的要求呀，
餐馆	嗯，它的电话是多少，还有周边有什么其它餐馆呀。
酒店	您还得帮我推荐个舒适型酒店住宿，最好把它周边有什么餐馆也查一下。
餐馆	那请您在北京香江戴斯酒店附近的餐馆里，帮我找个人均消费100-150元的店用餐。
餐馆	对了，我还要餐馆的评分在4.5分以上。
餐馆	太好了，那您帮查查它周边有什么酒店。
景点	最后，您再帮我找个评分4.5分以上的景点游玩一下，最好把这个景点的地址与游玩时间一起查下告诉我。
thank	好，谢谢了，我的问题已问完。
酒店	你好，我要外出住宿，能否为我寻一个经济型的，且提供无烟房和西式餐厅的酒店呢？
酒店	好的，就去那吧。它的位置在哪？
酒店	好的，记下了。那价位怎么样？
景点	不错，确实挺实在。然后第二天我计划去阳台山自然风景区玩一圈，想咨询下那周围还有别的好玩的地方吗？
景点	好我知道了。那如果我想到阳台山自然风景区旁边的一个景点玩个1小时 - 2小时，评价最好是5分，票价希望在20-50元，有没有这样的地方呢？
景点	完全可以亲。那钟鼓楼周边有啥好玩的景点吗？
餐馆	好嘞，能去一定去。我想着玩完该饿了，最近超级想吃驰名毛血旺，帮我找个评分是4分以上的餐馆吧，好吗？
餐馆	真棒，无条件信任你。那周围有啥好的酒店不？
餐馆	很好，我很满意。那么鑫巴蜀菜馆的旁边有别的好吃的饭馆吗？
thank	太好了，想着这些好吃的心情也变好了呢。多谢亲啦。
餐馆	你好，我约了朋友吃饭，想要找人均消费在50-100元之间的，评分在4分以上的，帮我推荐下吧。
餐馆	好啊，绿茶餐厅(光华店)有啥推荐菜没？
景点	吃完饭我想找一个票价20-50元之间的景点去玩，有推荐的吗？
景点	行，北京喇叭沟原始森林公园周边有啥还玩的景点和酒店呢？
thank	好的，谢谢你。
酒店	你好，我要找一个价格是400-500元，提供公共区域和部分房间提供wifi的舒适型酒店住宿，你有什么好的去处吗？
酒店	是吗，那这个酒店在什么地方啊？
酒店	好的，酒店评分是多少啊？
餐馆	不错啊，就去它家了，定好酒店我想找个评分是5分，人均消费是50-100元的餐馆吃点饭，能给提供几个选择不？
餐馆	行啊，我比较喜欢川菜，就去渝信川菜(京泰店)好了，告诉我一下它家的营业时间可以吗？
餐馆	这时间划分的好仔细啊，它家都有什么推荐菜呀？
景点	好的，光看菜名都馋了，我这人爱溜达，吃完饭我打算找个游玩时长是1小时 - 2小时，评分是5分的景点遛弯，你有什么好的建议吗？
景点	我还是去将府公园吧，这里更适合饭后散步，知道这个景点周边还有哪些其他景点吗？
景点	周边景点还不少呢，那这个景点门票是多少钱啊？
thank	OK，太棒了，谢谢你啊！
酒店	你好，走了一天我想找个酒店住宿，最好能提供24小时热水和桑拿的，我解解乏。当然了，是舒适型的最好，最低价格在700-800之间。有么？
酒店	行，也没贵多少。那里周边有啥好吃的餐馆么？
酒店	好吧，想吃饭就走远点。那周边还有啥景点可以玩？
餐馆	我的天，你给我推荐这个酒店真惨。那你单独给我推荐个餐馆吧？我想吃奶酪蛋糕，人均消费在1000元以上。
餐馆	那也只能这样了，这家评分怎么样？
餐馆	将就吃呗。那他周围有什么景点么？
景点	你干脆直接给我推荐一个评分4.5以上的景点呗？
景点	这么多啊，我就去密云水库就行。顺便问一句，密云水库周边有啥酒店可以入住？
thank	好的，我知道了，没有疑问了，谢谢。
餐馆	你好，我想去一家人均消费是50-100元的餐馆吃饭，餐馆评分要4.5分以上的，帮忙推荐一家。
餐馆	好的，这家餐馆的周边还有哪些餐馆啊？
餐馆	好的，请问周边的餐馆里哪家有香辣美容蹄这道菜，并且人均消费是在100-150元内的。
餐馆	好的，那金百万烤鸭店(顺义店)这家餐馆周边有哪些餐馆啊？
酒店	吃完饭我找个评分在4.5分以上有无烟房设施的酒店住宿，帮我推荐一家吧。
酒店	好的，请告诉我酒店周边有哪些餐馆？
thank	好的，谢谢了。
餐馆	你好，我们家人聚餐，请帮我找一家人均消费是150-500元，评分是4.5分以上的餐馆。
餐馆	恩。京海大厦餐厅的营业时间是怎样的，看看啥时间去合适。
餐馆	好的。这家餐馆的附近还有哪些好吃的餐馆吗？
酒店	好的。如果吃的太晚了，就去酒店住宿。帮我找一家最低价格是400-500元的舒适型酒店，评分在4.5分以上就更好了。
酒店	好的。北京和平里宾馆的地址是什么啊？
酒店	还有，这家酒店的周边有哪些好吃的饭馆吗？
景点	没关系。休息好了想带家人去游玩。请帮走找一个游玩的时长是1小时的景点。
景点	好的啊。景山公园这个景点的评分是几分啊？
景点	嗯呢。这个景点的周边有哪些美味的餐馆啊？
餐馆	嗯嗯。在景山公园的周边餐馆里，哪个的评分是4.5分以上有红烧狮子头这个菜？家人想吃。
餐馆	好的啊。京师大厦自助餐厅的人均是多少钱啊？
thank	好的，谢谢啊。
景点	您好，请帮我推荐个门票在20-50元之间的景点游玩呗。
景点	那它的评分是多少，顺便在把景点的电话给我。
thank	好，谢谢了。
餐馆	你好，我同事想吃蒜香面包了，有人均消费是100-150元的餐馆介绍给我吗？
餐馆	没关系，挺好的。那餐馆一般何时营业呢？
餐馆	多谢，还有餐馆地址可以分享给我吗？
酒店	我记下了。现在我计划找个有早餐服务的酒店住下，你有合适的推荐吗？
酒店	那价位怎么样？
酒店	我觉得可以。那酒店旁边有哪些景点呢？
景点	那上述你提到的这些地方里，有没有人均消费是100-150元的，还能玩上2小时 - 3小时，并且评分在4.5分以上的景点呢？
景点	没什么不可以的，多谢。请问景点旁边有哪些酒店呢？
景点	我记着了。对了，我还想知道离柳荫公园临近的景点还包括哪些，可以吗？
景点	好的。接下来我还需要找一个能玩1小时的地方，最好评分是4.5分以上，你看去哪好呀？
景点	那个请问日坛公园的边上有好点的餐馆吗？
餐馆	好。那就请你在上面说的餐馆里面，帮我找一个能吃到鸭肠儿，评分达到4.5分以上的地方，可以吗？
餐馆	行，就去那吧，海底捞不会差的。请问那儿周边有哪些别的餐馆吗？
餐馆	知道啦。最后我还想了解一下海底捞火锅(白家庄店)的营业时间，行吗？
thank	好的，太感谢你了。
景点	你好，我想找一个评分4分以上的门票价格200元以上的景点游玩，给推荐一个吧。
景点	这个景点的游玩时间是多久啊？
餐馆	好的，游玩结束后我想找个评分4.5分以上的餐馆吃饭，给推荐一家吧。
餐馆	这家餐馆有啥推荐菜啊？
餐馆	餐馆的周边有哪些酒店啊？
地铁	我要从温都水城温泉乘坐地铁到全聚德烤鸭店(清华园店)，请告诉我出发地和目的地附近的地铁站。
thank	好的，谢谢你了啊。
景点	您好，请为我推荐一个评分是4.5分以上的景点，我想和女朋友一起去玩，把地址告诉我呗。
酒店	好啊。回来以后我们想找一家评分是4.5分以上的经济型酒店住，有什么好推荐？
酒店	就去锦江之星(北京奥体中心店)吧，有接站服务和室内游泳池吗？电话多少？
thank	好的，谢谢了。
餐馆	你好，能帮我安排一个评分是5分，人均消费是100-150元的餐馆吗？
餐馆	行啊，它家有什么推荐菜呀？
餐馆	美味的快餐店吗，我喜欢，它家周边有酒店没？
酒店	好的，我打算吃完饭找个评分是4.5分以上，价格是800-900元的酒店住宿，你知道哪个酒店比较合适吗？
酒店	是吗，那就去这里住，麻烦你帮我查一下它家的电话和地址好不？
景点	收到，明天休息，在酒店也待不住，麻烦你给我推荐一个游玩时长是2小时 - 4小时，评分是5分的景点好吗？
景点	可以，北京语言大学周边都有什么酒店呀？
景点	不错啊，那它周边还有别的景点吗？
景点	哇塞，好多好玩的地方啊，我想在该景点附近另找一个票价150-200元，评分是4.5分以上的景点继续玩，你给推荐一个呗！
景点	必须可以啊，鸟巢（国家体育场）我还是非常喜欢的，景点周边都有哪些餐馆呀？
景点	好的，该景点的游玩时间能帮我查一下吗？
thank	收到谢谢！
景点	你好，我想去景点游玩。请帮我找一个游玩时长是3天的景点。
景点	好的。绿岛乐园这个景点的周边餐馆都有哪些？
景点	好的。这个景点的周边酒店都有哪些？
景点	哦哦。那你给我推荐一家周边有酒店的景点吧。
景点	好好。那欢乐水魔方水上乐园的周边餐馆有哪些？
酒店	嗯呢，很好。欢乐水魔方水上乐园的周边酒店里，哪个的评分是4.5分以上，最低价格是500-600元？
酒店	好的。这个酒店有无烟房吗？
酒店	嗯呢。这个酒店的周边餐馆都有哪些？
餐馆	嗯呢。欢乐水魔方水上乐园的周边餐馆里，哪个的人均消费是500-1000元，有烤鱼豆腐、培根卷这两个菜。
餐馆	可以。初色海鲜自助火锅这个餐馆的周边有哪些酒店？
餐馆	嗯呢。这个餐馆的周边有啥景点？
餐馆	恩。我想换换口味。再帮我找一家餐馆，评分是4分以上，有凯撒沙拉这个菜。
餐馆	嗯嗯。华彬费尔蒙酒店刃扒房这个餐馆的电话是啥啊？
餐馆	嗯。还有这个餐馆的地址是什么？
thank	嗯呢。谢谢啊。
餐馆	你好，我想请你帮我找一家饭店，人均消费是50-100元，最好有烤猪蹄这道菜，我今天特别想吃这个。
餐馆	那就开黑电竞烧烤主题餐厅，我觉得听着挺有意思的，附近有什么景点和饭店么?
餐馆	附近有做烧羊肉并且人均消费是100-150元的餐厅么？
餐馆	那我就在那随便买点什么吧，也不想往远走了，这家店的电话是多少？
餐馆	好的，附近还有别的餐厅么?
景点	您能再帮我推荐一个游玩的时长是0.5小时 - 1小时并且票价是20-50元的景点么？
景点	好的，在附近有什么餐馆么？
酒店	麻烦您再帮我找一个提供接机服务的酒店，没有别的要求。
酒店	这家酒店是评分多少的什么类型的酒店呢？
thank	多谢了。
景点	你好，帮我推荐一个景点，能玩1、2个小时的，票价便宜的在20元一下的。
景点	行，元大都城垣遗址公园的电话是多少？玩完后周边有酒店可以休息吗？
酒店	这些酒店中有豪华型的酒店吗？
酒店	把这个酒店的电话和地址告诉我。
酒店	好的，你再帮我推荐一个价位在600-700元之间的经济型酒店吧。
酒店	格林豪泰(北京学清路店)的评分高吗？周边有什么好玩的地方吗？
餐馆	好的，最好再帮我玩推荐一个评分在4.5分以上的餐馆吧。
餐馆	京海大厦餐厅的人均消费高吗？吃完饭周边有酒店可以休息吗？
thank	好的，谢谢你。
景点	你好啊，我最近想出去走走，你知道哪个景点是可以玩2小时 - 4小时，票价是20元以下的给我推荐一下呗。
景点	他的评分是几分呢？
酒店	还不错哈，接下来给我找个休息的酒店呗，是经济型的就行。
酒店	他家价格是多钱啊？
餐馆	那我太满意了，你推荐的真好啊，接下来我想去江边城外烤全鱼(亚运村店)用餐，你知道他家的人均消费是多钱吗？
thank	哈哈，这趟旅行我能省不少钱呢，哈哈，谢谢你了！
酒店	您好，请帮我找一家提供收费停车位的舒适型酒店。
酒店	请帮我查一下山水时尚酒店(北京梨园店)的地址，以及周边可以游玩的景点。
景点	我想在山水时尚酒店(北京梨园店)附近找一个评分是4.5分以上且票价在100-150元之间的景点游玩1小时 - 2小时，有什么推荐的吗？
景点	好吧，那么韩美林艺术馆的地址在哪？周边有住宿的地方吗？
餐馆	游玩结束我想找一家评分在4.5分以上且人均消费在100-150元之间的餐馆用餐，有什么推荐吗？
餐馆	砂锅居（西四店）的地址是多少？
出租	从韩美林艺术馆出来后，我准备乘坐出租车去砂锅居（西四店）用餐，请告诉我出租车的车型和车牌。
thank	好的，谢谢，我没有其他问题了。
餐馆	你好，请推荐一家人均消费是50-100元，有腊八蒜烧肥肠菜的餐馆。
餐馆	这两家餐馆哪家的评分是4.5分以上的？
餐馆	小吊梨汤(后沙峪店)的周边有哪些景点？
餐馆	小吊梨汤(后沙峪店)的地址在哪？
景点	我想去一个可以游玩12小时 - 3天的景点，并且景点的评分是4分以上的，请推荐一个好吗？
景点	北京欢乐谷的电话是多少？
地铁	如果我想从小吊梨汤(后沙峪店)乘坐地铁到北京欢乐谷，要在哪站上车，在哪站下车呢？
景点	好的，之后我想到乐多港奇幻乐园景点去玩，你知道景点的游玩时间吗？
景点	乐多港奇幻乐园的周边有什么餐馆吗？
酒店	嗯，好的。最后，我想入住一家最低价格是100-200元且评分是4.5分以上的酒店，您给推荐一下。
酒店	可以的。金广快捷酒店(北京首都机场新国展店)的电话是多少？
酒店	它是什么类型的酒店？
thank	好的，谢谢！
餐馆	你好，我妈想吃炸灌肠，帮我找一家人均消费是50-100元，评分是5分的有这个菜肴的餐馆。
餐馆	好的，可以啊。褡裢火烧这家餐馆的附近有什么酒店吗？
餐馆	好的。这家餐馆的周边还有啥好吃的餐馆吗？
景点	好。吃完饭想带我妈去游玩下。请帮我找一个游玩时长是3小时的免费景点。
景点	好的。十七孔桥这个景点的地址是什么？看看如何过去。
酒店	嗯呢。游玩结束妈妈肯定累了。帮我找一家经济型的酒店。
酒店	好。中安之家连锁(北京中安宾馆)这家酒店的附近有啥味道好的餐馆吗？
酒店	嗯呢。这家酒店的地址是什么啊？
餐馆	嗯。休息好了得去吃点饭。在中安之家连锁(北京中安宾馆)的周边餐馆里，哪个的人均消费是100-150元的？
餐馆	好的。肯德基(成寿寺店)的周边有哪些酒店啊？
餐馆	嗯呢。这家餐馆的推荐菜都有什么啊？
thank	好的。谢谢啊。
酒店	你好，请帮我找一家舒适型的酒店，需要有早餐服务和洗衣服务的。
酒店	北京紫玉饭店的评分咋样，地址在哪？
餐馆	请帮我找一个评分在4分以上的餐馆。
餐馆	姚记炒肝店（鼓楼店）的电话是多少？
景点	再帮我找一个评分5分，能游玩2小时的景点。
景点	三里屯酒吧街在哪，周边还有景点吗？
地铁	从北京紫玉饭店到三里屯酒吧街怎么坐地铁？
thank	好的，谢谢。
酒店	您好，请给我推荐一家评分4.5分以上的酒店住宿。
酒店	这家酒店属于什么类型？
酒店	酒店的周边有哪些景点啊？
餐馆	好的，请给我推荐一家有巧克力这道美食的餐馆用餐。
餐馆	这家餐馆的周边有哪些酒店啊？
餐馆	餐馆的周边有哪些景点啊？
景点	好的，吃完饭后我想在赛百味周边找个评分5分门票价格150-200元的，可以游玩时间0.5小时 - 1小时的景点游玩，给我推荐一个吧。
景点	这个景点的周边有哪些酒店啊？
景点	景点的电话是多少啊？
景点	好的，请给我推荐一个门票50-100元可以游玩时间2小时 - 3小时的景点游玩。
景点	这个景点的地址是在哪 ？
景点	景点的周边有哪些酒店啊？
酒店	游玩结束后我想找个酒店住宿，请在世界花卉大观园周边的酒店里给我推荐一家有接站服务和会议室服务的高档型酒店住宿。
酒店	这个酒店是高档型吗？
酒店	酒店的评分多少啊？
thank	好的，谢谢你了。
酒店	你好，我想找个提供免费市内电话的经济型酒店住宿，你有什么好地方给我推荐吗？
酒店	好的，这个酒店在什么位置？
酒店	收到，这个什么价位你知道吗？
景点	还行不太贵，酒店安排好之后我想找个票价免费，游玩时长是3小时 - 5小时的景点游玩，可以帮我推荐一个吗？
景点	真的吗，那我必须去这里啊，能把地址发给我吗？
thank	OK，我记下了，谢谢你啊！
景点	你好，请帮我推荐一个能玩1-2小时的并且票价在200以上的景点，我希望景点的评分在4.5分以上。
景点	篱苑图书馆的地址在哪呢，周边还有哪些其他景点呢？
餐馆	玩完后我想找一家评分在4.5分以上有传统地道毛血旺这道菜的餐馆  ，帮我推荐一下。
餐馆	好的，眉州东坡(顺义店)营业时间是几点到几点？人均消费是多少？
酒店	好的，我想去中安之家北京东单宾馆，帮我查询下这家酒店含不含商务中心和租车服务？另外地址也帮我查询下。
thank	好的，谢谢。
